Sales,CompPrice,Income,Advertising,Population,Price,ShelveLoc,Age,Education,Urban,US,Sales_class
9.5,138,73,11,276,120,1,42,17,1,1,HIGH
11.22,111,48,16,260,83,3,65,10,1,1,HIGH
10.06,113,35,10,269,80,2,59,12,1,1,HIGH
7.4,117,100,4,466,97,2,55,14,1,1,MED
4.15,141,64,3,340,128,1,38,13,1,0,LOW
10.81,124,113,13,501,72,1,78,16,0,1,HIGH
6.63,115,105,0,45,108,2,71,15,1,0,MED
11.85,136,81,15,425,120,3,67,10,1,1,HIGH
6.54,132,110,0,108,124,2,76,10,0,0,MED
4.69,132,113,0,131,124,2,76,17,0,1,LOW
9.01,121,78,9,150,100,1,26,10,0,1,HIGH
11.96,117,94,4,503,94,3,50,13,1,1,HIGH
3.98,122,35,2,393,136,2,62,18,1,0,LOW
10.96,115,28,11,29,86,3,53,18,1,1,HIGH
11.17,107,117,11,148,118,3,52,18,1,1,HIGH
8.71,149,95,5,400,144,2,76,18,0,0,HIGH
7.58,118,32,0,284,110,3,63,13,1,0,MED
12.29,147,74,13,251,131,3,52,10,1,1,HIGH
13.91,110,110,0,408,68,3,46,17,0,1,HIGH
8.73,129,76,16,58,121,2,69,12,1,1,HIGH
6.41,125,90,2,367,131,2,35,18,1,1,MED
12.13,134,29,12,239,109,3,62,18,0,1,HIGH
5.08,128,46,6,497,138,2,42,13,1,0,LOW
5.87,121,31,0,292,109,2,79,10,1,0,LOW
10.14,145,119,16,294,113,1,42,12,1,1,HIGH
14.9,139,32,0,176,82,3,54,11,0,0,HIGH
8.33,107,115,11,496,131,3,50,11,0,1,MED
5.27,98,118,0,19,107,2,64,17,1,0,LOW
2.99,103,74,0,359,97,1,55,11,1,1,LOW
7.81,104,99,15,226,102,1,58,17,1,1,MED
13.55,125,94,0,447,89,3,30,12,1,0,HIGH
8.25,136,58,16,241,131,2,44,18,1,1,MED
6.2,107,32,12,236,137,3,64,10,0,1,MED
8.77,114,38,13,317,128,3,50,16,1,1,HIGH
2.67,115,54,0,406,128,2,42,17,1,1,LOW
11.07,131,84,11,29,96,2,44,17,0,1,HIGH
8.89,122,76,0,270,100,3,60,18,0,0,HIGH
4.95,121,41,5,412,110,2,54,10,1,1,LOW
6.59,109,73,0,454,102,2,65,15,1,0,MED
3.24,130,60,0,144,138,1,38,10,0,0,LOW
2.07,119,98,0,18,126,1,73,17,0,0,LOW
7.96,157,53,0,403,124,1,58,16,1,0,MED
10.43,77,69,0,25,24,2,50,18,1,0,HIGH
4.12,123,42,11,16,134,2,59,13,1,1,LOW
4.16,85,79,6,325,95,2,69,13,1,1,LOW
4.56,141,63,0,168,135,1,44,12,1,1,LOW
12.44,127,90,14,16,70,2,48,15,0,1,HIGH
4.38,126,98,0,173,108,1,55,16,1,0,LOW
3.91,116,52,0,349,98,1,69,18,1,0,LOW
10.61,157,93,0,51,149,3,32,17,1,0,HIGH
1.42,99,32,18,341,108,1,80,16,1,1,LOW
4.42,121,90,0,150,108,1,75,16,1,0,LOW
7.91,153,40,3,112,129,1,39,18,1,1,MED
6.92,109,64,13,39,119,2,61,17,1,1,MED
4.9,134,103,13,25,144,2,76,17,0,1,LOW
6.85,143,81,5,60,154,2,61,18,1,1,MED
11.91,133,82,0,54,84,2,50,17,1,0,HIGH
0.91,93,91,0,22,117,1,75,11,1,0,LOW
5.42,103,93,15,188,103,1,74,16,1,1,LOW
5.21,118,71,4,148,114,2,80,13,1,0,LOW
8.32,122,102,19,469,123,1,29,13,1,1,MED
7.32,105,32,0,358,107,2,26,13,0,0,MED
1.82,139,45,0,146,133,1,77,17,1,1,LOW
8.47,119,88,10,170,101,2,61,13,1,1,MED
7.8,100,67,12,184,104,2,32,16,0,1,MED
4.9,122,26,0,197,128,2,55,13,0,0,LOW
8.85,127,92,0,508,91,2,56,18,1,0,HIGH
9.01,126,61,14,152,115,2,47,16,1,1,HIGH
13.39,149,69,20,366,134,3,60,13,1,1,HIGH
7.99,127,59,0,339,99,2,65,12,1,0,MED
9.46,89,81,15,237,99,3,74,12,1,1,HIGH
6.5,148,51,16,148,150,2,58,17,0,1,MED
5.52,115,45,0,432,116,2,25,15,1,0,LOW
12.61,118,90,10,54,104,3,31,11,0,1,HIGH
6.2,150,68,5,125,136,2,64,13,0,1,MED
8.55,88,111,23,480,92,1,36,16,0,1,MED
10.64,102,87,10,346,70,2,64,15,1,1,HIGH
7.7,118,71,12,44,89,2,67,18,0,1,MED
4.43,134,48,1,139,145,2,65,12,1,1,LOW
9.14,134,67,0,286,90,1,41,13,1,0,HIGH
8.01,113,100,16,353,79,1,68,11,1,1,MED
7.52,116,72,0,237,128,3,70,13,1,0,MED
11.62,151,83,4,325,139,3,28,17,1,1,HIGH
4.42,109,36,7,468,94,1,56,11,1,1,LOW
2.23,111,25,0,52,121,1,43,18,0,0,LOW
8.47,125,103,0,304,112,2,49,13,0,0,MED
8.7,150,84,9,432,134,2,64,15,1,0,HIGH
11.7,131,67,7,272,126,3,54,16,0,1,HIGH
6.56,117,42,7,144,111,2,62,10,1,1,MED
7.95,128,66,3,493,119,2,45,16,0,0,MED
5.33,115,22,0,491,103,2,64,11,0,0,LOW
4.81,97,46,11,267,107,2,80,15,1,1,LOW
4.53,114,113,0,97,125,2,29,12,1,0,LOW
8.86,145,30,0,67,104,2,55,17,1,0,HIGH
8.39,115,97,5,134,84,1,55,11,1,1,MED
5.58,134,25,10,237,148,2,59,13,1,1,LOW
9.48,147,42,10,407,132,3,73,16,0,1,HIGH
7.45,161,82,5,287,129,1,33,16,1,1,MED
12.49,122,77,24,382,127,3,36,16,0,1,HIGH
4.88,121,47,3,220,107,1,56,16,0,1,LOW
4.11,113,69,11,94,106,2,76,12,0,1,LOW
6.2,128,93,0,89,118,2,34,18,1,0,MED
5.3,113,22,0,57,97,2,65,16,0,0,LOW
5.07,123,91,0,334,96,1,78,17,1,1,LOW
4.62,121,96,0,472,138,2,51,12,1,0,LOW
5.55,104,100,8,398,97,2,61,11,1,1,LOW
0.16,102,33,0,217,139,2,70,18,0,0,LOW
8.55,134,107,0,104,108,2,60,12,1,0,MED
3.47,107,79,2,488,103,1,65,16,1,0,LOW
8.98,115,65,0,217,90,2,60,17,0,0,HIGH
9.0,128,62,7,125,116,2,43,14,1,1,HIGH
6.62,132,118,12,272,151,2,43,14,1,1,MED
6.67,116,99,5,298,125,3,62,12,1,1,MED
6.01,131,29,11,335,127,1,33,12,1,1,LOW
9.31,122,87,9,17,106,2,65,13,1,1,HIGH
8.54,139,35,0,95,129,2,42,13,1,0,MED
5.08,135,75,0,202,128,2,80,10,0,0,LOW
8.8,145,53,0,507,119,2,41,12,1,0,HIGH
7.57,112,88,2,243,99,2,62,11,1,1,MED
7.37,130,94,8,137,128,2,64,12,1,1,MED
6.87,128,105,11,249,131,2,63,13,1,1,MED
11.67,125,89,10,380,87,1,28,10,1,1,HIGH
6.88,119,100,5,45,108,2,75,10,1,1,MED
8.19,127,103,0,125,155,3,29,15,0,1,MED
8.87,131,113,0,181,120,3,63,14,1,0,HIGH
9.34,89,78,0,181,49,2,43,15,0,0,HIGH
11.27,153,68,2,60,133,3,59,16,1,1,HIGH
6.52,125,48,3,192,116,2,51,14,1,1,MED
4.96,133,100,3,350,126,1,55,13,1,1,LOW
4.47,143,120,7,279,147,1,40,10,0,1,LOW
8.41,94,84,13,497,77,2,51,12,1,1,MED
6.5,108,69,3,208,94,2,77,16,1,0,MED
9.54,125,87,9,232,136,3,72,10,1,1,HIGH
7.62,132,98,2,265,97,1,62,12,1,1,MED
3.67,132,31,0,327,131,2,76,16,1,0,LOW
6.44,96,94,14,384,120,2,36,18,0,1,MED
5.17,131,75,0,10,120,1,31,18,0,0,LOW
6.52,128,42,0,436,118,2,80,11,1,0,MED
10.27,125,103,12,371,109,2,44,10,1,1,HIGH
12.3,146,62,10,310,94,2,30,13,0,1,HIGH
6.03,133,60,10,277,129,2,45,18,1,1,LOW
6.53,140,42,0,331,131,1,28,15,1,0,MED
7.44,124,84,0,300,104,2,77,15,1,0,MED
0.53,122,88,7,36,159,1,28,17,1,1,LOW
9.09,132,68,0,264,123,3,34,11,0,0,HIGH
8.77,144,63,11,27,117,2,47,17,1,1,HIGH
3.9,114,83,0,412,131,1,39,14,1,0,LOW
10.51,140,54,9,402,119,3,41,16,0,1,HIGH
7.56,110,119,0,384,97,2,72,14,0,1,MED
11.48,121,120,13,140,87,2,56,11,1,1,HIGH
10.49,122,84,8,176,114,3,57,10,0,1,HIGH
10.77,111,58,17,407,103,3,75,17,0,1,HIGH
7.64,128,78,0,341,128,3,45,13,0,0,MED
5.93,150,36,7,488,150,2,25,17,0,1,LOW
6.89,129,69,10,289,110,2,50,16,0,1,MED
7.71,98,72,0,59,69,2,65,16,1,0,MED
7.49,146,34,0,220,157,3,51,16,1,0,MED
10.21,121,58,8,249,90,2,48,13,0,1,HIGH
12.53,142,90,1,189,112,3,39,10,0,1,HIGH
9.32,119,60,0,372,70,1,30,18,0,0,HIGH
4.67,111,28,0,486,111,2,29,12,0,0,LOW
2.93,143,21,5,81,160,2,67,12,0,1,LOW
3.63,122,74,0,424,149,2,51,13,1,0,LOW
5.68,130,64,0,40,106,1,39,17,0,0,LOW
8.22,148,64,0,58,141,2,27,13,0,1,MED
0.37,147,58,7,100,191,1,27,15,1,1,LOW
6.71,119,67,17,151,137,2,55,11,1,1,MED
6.71,106,73,0,216,93,2,60,13,1,0,MED
7.3,129,89,0,425,117,2,45,10,1,0,MED
11.48,104,41,15,492,77,3,73,18,1,1,HIGH
8.01,128,39,12,356,118,2,71,10,1,1,MED
12.49,93,106,12,416,55,2,75,15,1,1,HIGH
9.03,104,102,13,123,110,3,35,16,1,1,HIGH
6.38,135,91,5,207,128,2,66,18,1,1,MED
0.0,139,24,0,358,185,2,79,15,0,0,LOW
7.54,115,89,0,38,122,2,25,12,1,0,MED
5.61,138,107,9,480,154,2,47,11,0,1,LOW
10.48,138,72,0,148,94,2,27,17,1,1,HIGH
10.66,104,71,14,89,81,2,25,14,0,1,HIGH
7.78,144,25,3,70,116,2,77,18,1,1,MED
4.94,137,112,15,434,149,1,66,13,1,1,LOW
7.43,121,83,0,79,91,2,68,11,1,0,MED
4.74,137,60,4,230,140,1,25,13,1,0,LOW
5.32,118,74,6,426,102,2,80,18,1,1,LOW
9.95,132,33,7,35,97,2,60,11,0,1,HIGH
10.07,130,100,11,449,107,2,64,10,1,1,HIGH
8.68,120,51,0,93,86,2,46,17,0,0,HIGH
6.03,117,32,0,142,96,1,62,17,1,0,LOW
8.07,116,37,0,426,90,2,76,15,1,0,MED
12.11,118,117,18,509,104,2,26,15,0,1,HIGH
8.79,130,37,13,297,101,2,37,13,0,1,HIGH
6.67,156,42,13,170,173,3,74,14,1,1,MED
